"","Id","Point_IDs","Latitude","Longitude","coords.x1","coords.x2"
"79",0,"NS02-B",44.3598159353,-93.0980869968,492183.643619863,4911842.74536674
"80",0,"NS03-A",44.3594829053,-93.0985182835,492149.230774805,4911805.795346
"81",0,"NS03-B",44.3583796173,-93.0973484008,492242.311339566,4911683.13642799
"82",0,"NS04-A",44.3581335477,-93.0978387602,492203.201995988,4911655.85083945
"83",0,"NS04-B",44.3593586351,-93.0991084088,492102.187903467,4911792.04876056
"84",0,"NS05-A",44.3592469072,-93.0997281447,492052.786908287,4911779.69851176
"85",0,"NS05-B",44.3578677152,-93.0983684932,492160.951975944,4911626.37408128
"86",0,"NS06-A",44.3575887334,-93.0988719106,492120.796937646,4911595.43451881
"87",0,"NS06-B",44.3591046358,-93.1003245494,492005.240798333,4911763.95375295
"88",0,"NS07-A",44.3586914157,-93.1005481394,491987.366836007,4911718.07724964
"89",0,"NS07-B",44.3573451324,-93.0993025921,492086.442703194,4911568.41808201
"90",0,"NS08-A",44.3571023787,-93.0997317691,492052.208201039,4911541.49580362
